UNIVERSITY NAME,NAME OF MASTER PROGRAM,COUNTRY,CITY,LANG.,SEMESTER,Tuition fee(€)/SEMESTER,APPLY,START,REQUIREMENT,WEBSITE
Ludwig-Maximilians-Universität München,Master of Science in Economics,Germany,München,English,4,142,30/04/21,,IELTS 6.5 TOEFL 80,http://www.en.master.econ.uni-muenchen.de/index.html
Trier University,Master of Science in Economics,Germany,Trier,English,4,285,31/05/21,,IELTS 6 TOEFL 80,http://www.bewerbung.uni-trier.de/
Friedrich Schiller University Jena,Master of Science in Economics,Germany,Jena,English,4,230,01/04/21,15/07/21,IELTS 6 TOEFL 90,https://www.uni-jena.de/en/studies/study+programme/msc_economics
Kiel University,Master of Science in Economics,Germany,Kiel,English,4,266,15/07/21,,IELTS 6.5 TOEFL 550,https://www.wiso.uni-kiel.de/en/study/master/economics
Nuertingen-Geislingen University,Master of Science in International Finance,Germany,Nürtingen,English,3,1500,01/06/21,,ENG-B2,http://www.hfwu.de/ifm
Kiel University,Master of Science in Mathematical Finance,Germany,Kiel,English,4,270,,,TOEFL 550 CEFRC1,https://www.uni-assist.de/en/how-to-apply/apply-online/
Kiel University,Master of Science in Quantitative Economics,Germany,Kiel,English,4,266,15/07/21,,IELTS 6.5 TOEFL 550,https://www.wiso.uni-kiel.de/en/study/master/quantitative-economics
TH Köln (University of Applied Sciences),Game Development and Research (Master of Arts),Germany,Köln,English,4,280,,,UNI ORAL EXAM,https://www.th-koeln.de/en/academics/admission_5861.php
University of Hildesheim Foundation,"
Data Analytics",Germany,Hildesheim,English,4,400,30/06/21,,IELTS 6 TOEFL 61,https://www.ismll.uni-hildesheim.de/apply/
Technische Universität München,Data Engineering and Analytics (MSc),Germany,Garching b. München,English,4,130,31/05/21,,ENG-C1,https://campus.tum.de/tumonline/webnav.ini
University of Tübingen,Machine Learning (MSc),Germany,Tübingen,English,4,1500,30/04/21,,IELTS 7 TOEFL 94,https://uni-tuebingen.de/en/international/study-in-tuebingen/application-for-non-german-students/application-and-admission-of-international-students/
Rhine-Waal University of Applied Sciences,"Economics and Finance, MSc",Germany,Kleve,English,3,310,15/07/21,,ENG-B2,http://www.hochschule-rhein-waal.de/en/academics/prospective-students
,,,,,,,,,,
,,,,,,,,,,
